num,name,poke_type,attacks,hp,attack,defense,max_cp,max_buddy_cp,region,type1,type2,boost1,boost2,boost
722,Rowlet, grass  flying ," Tackle, Razor Leaf, Seed Bomb, Energy Ball,",169,102,99,1196,1210,Alola,grass,flying,sunny/clear,windy,sunny/clear windy
723,Dartrix, grass  flying ," Peck, Razor Leaf, Seed Bomb, Energy Ball, Brave Bird,",186,142,139,1950,1973,Alola,grass,flying,sunny/clear,windy,sunny/clear windy
724,Decidueye, grass  ghost ," Astonish, Razor Leaf, Shadow Sneak, Energy Ball, Brave Bird,",186,210,179,3137,3174,Alola,grass,ghost,sunny/clear,fog,sunny/clear fog
724,Decidueye (Hisuian Form) , grass  fighting ,,204,213,174,3275,3314,Alola,grass,fighting,sunny/clear,cloudy,sunny/clear cloudy
725,Litten, fire ," Scratch, Ember, Flamethrower, Flame Charge, Crunch,",128,128,79,1170,1184,Alola,fire,,sunny/clear,,sunny/clear 
726,Torracat, fire ," Bite, Ember, Flamethrower, Flame Charge, Crunch,",163,174,103,1934,1957,Alola,fire,,sunny/clear,,sunny/clear 
727,Incineroar, fire  dark ," Snarl, Fire Fang, Fire Blast, Flame Charge, Dark Pulse,",216,214,175,3387,3428,Alola,fire,dark,sunny/clear,fog,sunny/clear fog
728,Popplio, water ," Pound, Water Gun, Aqua Jet, Water Pulse, Aqua Tail,",137,120,103,1276,1291,Alola,water,,rain,,rain 
729,Brionne, water ," Charm, Water Gun, Aqua Jet, Water Pulse, Disarming Voice,",155,168,145,2131,2156,Alola,water,,rain,,rain 
730,Primarina, water  fairy ," Charm, Waterfall, Psychic, Hydro Pump, Moonblast,",190,232,195,3618,3661,Alola,water,fairy,rain,cloudy,rain cloudy
731,Pikipek, normal  flying ," Peck, Rock Smash, Drill Peck, Aerial Ace, Sky Attack,",111,136,59,1029,1041,Alola,normal,flying,partly cloudy,windy,partly cloudy windy
732,Trumbeak, normal  flying ," Peck, Rock Smash, Drill Peck, Rock Blast, Sky Attack,",146,159,100,1671,1691,Alola,normal,flying,partly cloudy,windy,partly cloudy windy
733,Toucannon, normal  flying ," Peck, Rock Smash, Bullet Seed, Drill Peck, Rock Blast, Flash Cannon,",190,222,146,3040,3076,Alola,normal,flying,partly cloudy,windy,partly cloudy windy
734,Yungoos, normal ," Tackle, Bite, Hyper Fang, Crunch, Rock Tomb,",134,122,56,995,1006,Alola,normal,,partly cloudy,,partly cloudy 
735,Gumshoos, normal ," Take Down, Bite, Hyper Fang, Crunch, Rock Tomb,",204,194,113,2470,2500,Alola,normal,,partly cloudy,,partly cloudy 
736,Grubbin, bug ," Bug Bite, Spark, X Scissor, Vice Grip, Crunch,",132,115,85,1112,1126,Alola,bug,,rain,,rain 
737,Charjabug, bug  electric ," Bug Bite, Spark, X Scissor, Discharge, Crunch,",149,145,161,1919,1942,Alola,bug,electric,rain,rain,rain rain
738,Vikavolt, bug  electric ," Bug Bite, Spark, Mud Slap, X Scissor, Discharge, Crunch,",184,254,158,3524,3566,Alola,bug,electric,rain,rain,rain rain
739,Crabrawler, fighting ," Rock Smash, Bubble, Power Up Punch, Crabhammer, Payback,",132,150,104,1540,1559,Alola,fighting,,cloudy,,cloudy 
740,Crabominable, fighting  ice ," Rock Smash, Bubble, Power Up Punch, Crabhammer, Payback, Ice Punch,",219,231,138,3286,3325,Alola,fighting,ice,cloudy,snow,cloudy snow
