num,name,poke_type,attacks,hp,attack,defense,max_cp,max_buddy_cp,region,type1,type2,boost1,boost2,boost
810,Grookey, grass ," Scratch, Razor Leaf, Energy Ball, Grass Knot,",137,122,91,1227,1242,Galar,grass,,sunny/clear,,sunny/clear 
811,Thwackey, grass ," Scratch, Razor Leaf, Energy Ball, Grass Knot,",172,165,134,2121,2146,Galar,grass,,sunny/clear,,sunny/clear 
812,Rillaboom, grass ," Scratch, Razor Leaf, Energy Ball, Grass Knot, Earth Power,",225,239,168,3758,3803,Galar,grass,,sunny/clear,,sunny/clear 
813,Scorbunny, fire ," Tackle, Ember, Flame Charge, Flamethrower,",137,132,79,1240,1255,Galar,fire,,sunny/clear,,sunny/clear 
814,Raboot, fire ," Tackle, Ember, Flame Charge, Flamethrower,",163,170,125,2062,2086,Galar,fire,,sunny/clear,,sunny/clear 
815,Cinderace, fire ," Tackle, Ember, Flame Charge, Flamethrower, Focus Blast,",190,238,163,3412,3453,Galar,fire,,sunny/clear,,sunny/clear 
816,Sobble, water ," Pound, Water Gun, Water Pulse, Surf,",137,132,79,1240,1255,Galar,water,,rain,,rain 
817,Drizzile, water ," Pound, Water Gun, Water Pulse, Surf,",163,186,113,2142,2167,Galar,water,,rain,,rain 
818,Inteleon, water ," Pound, Water Gun, Water Pulse, Surf, Shadow Ball,",172,262,142,3351,3391,Galar,water,,rain,,rain 
819,Skwovet, normal ," Tackle, Bite, Bullet Seed, Body Slam, Crunch,",172,95,86,1067,1080,Galar,normal,,partly cloudy,,partly cloudy 
820,Greedent, normal ," Tackle, Bite, Bullet Seed, Body Slam, Crunch,",260,160,156,2679,2711,Galar,normal,,partly cloudy,,partly cloudy 
821,Rookidee, flying ," Peck, Air Slash, Drill Peck, Brave Bird,",116,88,67,753,762,Galar,flying,,windy,,windy 
822,Corvisquire, flying ," Peck, Air Slash, Drill Peck, Brave Bird,",169,129,110,1542,1560,Galar,flying,,windy,,windy 
823,Corviknight, flying  steel ," Steel Wing, Air Slash, Drill Peck, Brave Bird, Iron Head,",221,163,192,2777,2810,Galar,flying,steel,windy,snow,windy snow
824,Blipbug, bug ," Struggle Bug, Struggle,",93,46,67,405,410,Galar,bug,,rain,,rain 
825,Dottler, bug  psychic ," Struggle Bug, Confusion, Bug Buzz, Psychic,",137,87,157,1164,1178,Galar,bug,psychic,rain,windy,rain windy
826,Orbeetle, bug  psychic ," Struggle Bug, Confusion, Bug Buzz, Psychic,",155,156,240,2513,2543,Galar,bug,psychic,rain,windy,rain windy
827,Nickit, dark ," Quick Attack, Snarl, Night Slash, Play Rough,",120,85,82,808,817,Galar,dark,,fog,,fog 
828,Thievul, dark ," Quick Attack, Snarl, Night Slash, Play Rough,",172,172,164,2415,2444,Galar,dark,,fog,,fog 
829,Gossifleur, grass ," Razor Leaf, Bullet Seed, Energy Ball, Grass Knot,",120,70,104,760,769,Galar,grass,,sunny/clear,,sunny/clear 
830,Eldegoss, grass ," Razor Leaf, Bullet Seed, Energy Ball, Grass Knot,",155,148,211,2255,2282,Galar,grass,,sunny/clear,,sunny/clear 
831,Wooloo, normal ," Tackle, Take Down, Wild Charge, Payback, Stomp,",123,76,97,798,808,Galar,normal,,partly cloudy,,partly cloudy 
832,Dubwool, normal ," Tackle, Take Down, Wild Charge, Payback, Body Slam,",176,159,198,2478,2507,Galar,normal,,partly cloudy,,partly cloudy 
833,Chewtle, water ," Water Gun, Bite, Body Slam, Surf,",137,114,85,1123,1136,Galar,water,,rain,,rain 
834,Drednaw, water  rock ," Waterfall, Bite, Body Slam, Surf, Rock Blast,",207,213,164,3209,3247,Galar,water,rock,rain,partly cloudy,rain partly cloudy
835,Yamper, electric ," Spark, Bite, Crunch, Thunder,",153,80,90,890,901,Galar,electric,,rain,,rain 
836,Boltund, electric ," Spark, Bite, Crunch, Thunder,",170,197,131,2460,2489,Galar,electric,,rain,,rain 
837,Rolycoly, rock ," Smack Down, Tackle, Rock Blast, Rock Slide,",102,73,91,692,700,Galar,rock,,partly cloudy,,partly cloudy 
838,Carkol, rock  fire ," Smack Down, Incinerate, Rock Blast, Rock Slide, Flame Charge,",190,114,157,1710,1730,Galar,rock,fire,partly cloudy,sunny/clear,partly cloudy sunny/clear
839,Coalossal, rock  fire ," Smack Down, Incinerate, Rock Blast, Rock Slide, Flame Charge,",242,146,198,2659,2691,Galar,rock,fire,partly cloudy,sunny/clear,partly cloudy sunny/clear
840,Applin, grass  dragon ," Astonish, Struggle,",120,71,116,807,817,Galar,grass,dragon,sunny/clear,windy,sunny/clear windy
841,Flapple, grass  dragon ," Bullet Seed, Dragon Breath, Dragon Pulse, Fly, Outrage, Seed Bomb,",172,214,144,2788,2821,Galar,grass,dragon,sunny/clear,windy,sunny/clear windy
842,Appletun, grass  dragon ," Bullet Seed, Astonish, Dragon Pulse, Energy Ball, Outrage, Seed Bomb,",242,178,146,2772,2805,Galar,grass,dragon,sunny/clear,windy,sunny/clear windy
843,Silicobra, ground ," Mud Slap, Mud Shot, Dig, Bulldoze, Earth Power,",141,103,123,1222,1237,Galar,ground,,sunny/clear,,sunny/clear 
844,Sandaconda, ground ," Mud Slap, Mud Shot, Dig, Bulldoze, Earth Power,",176,202,207,3155,3192,Galar,ground,,sunny/clear,,sunny/clear 
845,Cramorant, flying  water ," Peck, Water Gun, Drill Peck, Fly, Hydro Pump,",172,173,163,2422,2450,Galar,flying,water,windy,rain,windy rain
846,Arrokuda, water ," Waterfall, Bite, Peck, Crunch, Aqua Jet, Close Combat,",121,118,72,1021,1033,Galar,water,,rain,,rain 
847,Barraskewda, water ," Waterfall, Bite, Peck, Crunch, Aqua Jet, Close Combat,",156,258,127,3003,3039,Galar,water,,rain,,rain 
848,Toxel, electric  poison ," Acid, Power Up Punch,",120,97,65,821,831,Galar,electric,poison,rain,cloudy,rain cloudy
849,Toxtricity, electric  poison ," Acid, Spark, Poison Jab, Acid Spray, Discharge, Wild Charge, Power Up Punch,",181,224,140,2941,2976,Galar,electric,poison,rain,cloudy,rain cloudy
849,Toxtricity  (Low Key Form) , electric  poison ," Acid, Spark, Poison Jab, Acid Spray, Discharge, Wild Charge, Power Up Punch,",181,224,140,2941,2976,Galar,electric,poison,rain,cloudy,rain cloudy
850,Sizzlipede, fire  bug ," Bug Bite, Ember, Heat Wave, Bug Buzz, Crunch,",137,118,90,1186,1200,Galar,fire,bug,sunny/clear,rain,sunny/clear rain
851,Centiskorch, fire  bug ," Bug Bite, Ember, Heat Wave, Bug Buzz, Crunch, Lunge,",225,220,158,3381,3421,Galar,fire,bug,sunny/clear,rain,sunny/clear rain
852,Clobbopus, fighting ," Rock Smash, Brick Break, Superpower, Ice Punch,",137,121,103,1286,1301,Galar,fighting,,cloudy,,cloudy 
853,Grapploct, fighting ," Rock Smash, Waterfall, Brick Break, Superpower, Ice Punch, Surf,",190,209,162,3012,3048,Galar,fighting,,cloudy,,cloudy 
854,Sinistea, ghost ," Astonish, Sucker Punch, Shadow Ball, Dark Pulse, Psychic,",120,134,96,1287,1303,Galar,ghost,,fog,,fog 
855,Polteageist, ghost ," Astonish, Sucker Punch, Hex, Shadow Ball, Dark Pulse, Psychic,",155,248,189,3458,3499,Galar,ghost,,fog,,fog 
856,Hatenna, psychic ," Confusion, Charm, Psybeam, Psychic, Dazzling Gleam,",123,98,93,974,985,Galar,psychic,,windy,,windy 
857,Hattrem, psychic ," Confusion, Charm, Psybeam, Psychic, Dazzling Gleam,",149,153,133,1848,1870,Galar,psychic,,windy,,windy 
858,Hatterene, psychic  fairy ," Confusion, Charm, Psycho Cut, Psybeam, Psychic, Dazzling Gleam, Power Whip,",149,237,182,3198,3236,Galar,psychic,fairy,windy,cloudy,windy cloudy
