num,name,poke_type,attacks,hp,attack,defense,max_cp,max_buddy_cp,region,type1,type2,boost1,boost2,boost
152,Chikorita, grass ," Vine Whip, Tackle, Energy Ball, Grass Knot, Body Slam,",128,92,122,1057,1070,Johto,grass,,sunny/clear,,sunny/clear 
153,Bayleef, grass ," Razor Leaf, Tackle, Energy Ball, Grass Knot, Ancient Power,",155,122,155,1644,1664,Johto,grass,,sunny/clear,,sunny/clear 
154,Meganium, grass ," Razor Leaf, Vine Whip, Petal Blizzard, Solar Beam, Earthquake,",190,168,202,2725,2757,Johto,grass,,sunny/clear,,sunny/clear 
155,Cyndaquil, fire ," Ember, Tackle, Flame Charge, Swift, Flamethrower,",118,116,93,1108,1121,Johto,fire,,sunny/clear,,sunny/clear 
156,Quilava, fire ," Ember, Tackle, Flame Charge, Dig, Flamethrower,",151,158,126,1868,1891,Johto,fire,,sunny/clear,,sunny/clear 
157,Typhlosion, fire ," Ember, Shadow Claw, Incinerate, Fire Blast, Overheat, Solar Beam,",186,223,173,3266,3305,Johto,fire,,sunny/clear,,sunny/clear 
157,Typhlosion, fire  ghost ,,177,238,172,3384,3425,Johto,fire,ghost,sunny/clear,fog,sunny/clear fog
158,Totodile, water ," Water Gun, Scratch, Crunch, Aqua Jet, Water Pulse,",137,117,109,1279,1294,Johto,water,,rain,,rain 
159,Croconaw, water ," Waterfall, Scratch, Crunch, Ice Punch, Water Pulse,",163,150,142,1947,1970,Johto,water,,rain,,rain 
160,Feraligatr, water ," Waterfall, Bite, Ice Fang, Crunch, Hydro Pump, Ice Beam,",198,205,188,3230,3268,Johto,water,,rain,,rain 
161,Sentret, normal ," Scratch, Quick Attack, Dig, Brick Break, Grass Knot,",111,79,73,698,707,Johto,normal,,partly cloudy,,partly cloudy 
162,Furret, normal ," Quick Attack, Sucker Punch, Dig, Brick Break, Hyper Beam,",198,148,125,1987,2011,Johto,normal,,partly cloudy,,partly cloudy 
163,Hoothoot, normal  flying ," Feint Attack, Peck, Aerial Ace, Sky Attack, Night Shade,",155,67,88,766,775,Johto,normal,flying,partly cloudy,windy,partly cloudy windy
164,Noctowl, normal  flying ," Wing Attack, Extrasensory, Psychic, Sky Attack, Night Shade, Shadow Ball,",225,145,156,2288,2316,Johto,normal,flying,partly cloudy,windy,partly cloudy windy
165,Ledyba, bug  flying ," Tackle, Bug Bite, Silver Wind, Swift, Aerial Ace,",120,72,118,823,833,Johto,bug,flying,rain,windy,rain windy
166,Ledian, bug  flying ," Struggle Bug, Bug Bite, Bug Buzz, Silver Wind, Aerial Ace,",146,107,179,1522,1540,Johto,bug,flying,rain,windy,rain windy
167,Spinarak, bug  poison ," Poison Sting, Bug Bite, Night Slash, Signal Beam, Cross Poison,",120,105,73,923,934,Johto,bug,poison,rain,cloudy,rain cloudy
168,Ariados, bug  poison ," Poison Sting, Infestation, Shadow Sneak, Megahorn, Cross Poison, Lunge,",172,161,124,2003,2027,Johto,bug,poison,rain,cloudy,rain cloudy
169,Crobat, poison  flying ," Air Slash, Bite, Shadow Ball, Air Cutter, Sludge Bomb, Poison Fang, Cross Poison,",198,194,178,2992,3027,Johto,poison,flying,cloudy,windy,cloudy windy
170,Chinchou, water  electric ," Bubble, Spark, Water Pulse, Thunderbolt, Bubble Beam,",181,106,97,1265,1280,Johto,water,electric,rain,rain,rain rain
171,Lanturn, water  electric ," Water Gun, Charge Beam, Spark, Hydro Pump, Thunderbolt, Thunder,",268,146,137,2357,2386,Johto,water,electric,rain,rain,rain rain
172,Pichu, electric ," Thunder Shock, Thunderbolt, Disarming Voice, Thunder Punch,",85,77,53,535,542,Johto,electric,,rain,,rain 
173,Cleffa, fairy ," Pound, Zen Headbutt, Grass Knot, Psyshock, Signal Beam,",137,75,79,759,768,Johto,fairy,,cloudy,,cloudy 
174,Igglybuff, normal  fairy ," Pound, Feint Attack, Wild Charge, Shadow Ball, Psychic,",207,69,32,605,613,Johto,normal,fairy,partly cloudy,cloudy,partly cloudy cloudy
175,Togepi, fairy ," Hidden Power, Peck, Ancient Power, Psyshock, Dazzling Gleam,",111,67,116,743,752,Johto,fairy,,cloudy,,cloudy 
176,Togetic, fairy  flying ," Extrasensory, Hidden Power, Ancient Power, Dazzling Gleam, Aerial Ace,",146,139,181,1931,1954,Johto,fairy,flying,cloudy,windy,cloudy windy
177,Natu, psychic  flying ," Peck, Quick Attack, Night Shade, Psyshock, Drill Peck,",120,134,89,1246,1261,Johto,psychic,flying,windy,windy,windy windy
178,Xatu, psychic  flying ," Air Slash, Feint Attack, Ominous Wind, Future Sight, Aerial Ace,",163,192,146,2474,2504,Johto,psychic,flying,windy,windy,windy windy
179,Mareep, electric ," Tackle, Thunder Shock, Body Slam, Thunderbolt, Discharge,",146,114,79,1120,1133,Johto,electric,,rain,,rain 
180,Flaaffy, electric ," Tackle, Charge Beam, Power Gem, Thunderbolt, Discharge,",172,145,109,1720,1740,Johto,electric,,rain,,rain 
181,Ampharos, electric ," Charge Beam, Volt Switch, Zap Cannon, Focus Blast, Thunder, Power Gem, Thunder Punch,",207,211,162,3163,3201,Johto,electric,,rain,,rain 
181,Mega Ampharos, electric  dragon ," Charge Beam, Volt Switch, Zap Cannon, Focus Blast, Thunder, Power Gem, Thunder Punch,",207,294,203,4800,4857,Johto,electric,dragon,rain,windy,rain windy
182,Bellossom, grass ," Razor Leaf, Acid, Bullet Seed, Leaf Blade, Petal Blizzard, Dazzling Gleam,",181,169,180,2539,2570,Johto,grass,,sunny/clear,,sunny/clear 
183,Marill, water  fairy ," Tackle, Bubble, Bubble Beam, Aqua Tail, Body Slam,",172,37,93,521,528,Johto,water,fairy,rain,cloudy,rain cloudy
