num,name,poke_type,attacks,hp,attack,defense,max_cp,max_buddy_cp,region,type1,type2,boost1,boost2,boost
650,Chespin, grass ," Take Down, Vine Whip, Gyro Ball, Seed Bomb, Body Slam,",148,110,106,1239,1254,Kalos,grass,,sunny/clear,,sunny/clear 
651,Quilladin, grass ," Low Kick, Vine Whip, Gyro Ball, Energy Ball, Body Slam,",156,146,156,1944,1967,Kalos,grass,,sunny/clear,,sunny/clear 
652,Chesnaught, grass  fighting ," Low Kick, Smack Down, Vine Whip, Gyro Ball, Energy Ball, Superpower, Solar Beam,",204,201,204,3340,3380,Kalos,grass,fighting,sunny/clear,cloudy,sunny/clear cloudy
653,Fennekin, fire ," Scratch, Ember, Psyshock, Flamethrower, Flame Charge,",120,116,102,1162,1176,Kalos,fire,,sunny/clear,,sunny/clear 
654,Braixen, fire ," Scratch, Ember, Psyshock, Flamethrower, Flame Charge,",153,171,130,2049,2074,Kalos,fire,,sunny/clear,,sunny/clear 
655,Delphox, fire  psychic ," Scratch, Fire Spin, Zen Headbutt, Psychic, Flamethrower, Flame Charge, Fire Blast,",181,230,189,3459,3500,Kalos,fire,psychic,sunny/clear,windy,sunny/clear windy
656,Froakie, water ," Pound, Bubble, Water Pulse, Aerial Ace, Surf,",121,122,84,1122,1135,Kalos,water,,rain,,rain 
657,Frogadier, water ," Pound, Bubble, Water Pulse, Aerial Ace, Surf,",144,168,114,1850,1872,Kalos,water,,rain,,rain 
658,Greninja, water  dark ," Feint Attack, Bubble, Night Slash, Aerial Ace, Surf, Hydro Pump,",176,223,152,3001,3037,Kalos,water,dark,rain,fog,rain fog
658,Greninja (Ash-Greninja) , water  dark ,,176,339,155,4503,4557,Kalos,water,dark,rain,fog,rain fog
659,Bunnelby, normal ," Mud Slap, Quick Attack, Dig, Bulldoze, Earthquake,",116,68,72,625,633,Kalos,normal,,partly cloudy,,partly cloudy 
660,Diggersby, normal  ground ," Mud Shot, Quick Attack, Dig, Hyper Beam, Earthquake, Fire Punch,",198,112,155,1706,1726,Kalos,normal,ground,partly cloudy,sunny/clear,partly cloudy sunny/clear
661,Fletchling, normal  flying ," Peck, Quick Attack, Aerial Ace, Heat Wave, Swift,",128,95,80,905,916,Kalos,normal,flying,partly cloudy,windy,partly cloudy windy
662,Fletchinder, fire  flying ," Peck, Ember, Steel Wing, Aerial Ace, Heat Wave, Flame Charge,",158,145,110,1661,1681,Kalos,fire,flying,sunny/clear,windy,sunny/clear windy
663,Talonflame, fire  flying ," Peck, Fire Spin, Steel Wing, Brave Bird, Fire Blast, Flame Charge, Hurricane,",186,176,155,2492,2522,Kalos,fire,flying,sunny/clear,windy,sunny/clear windy
664,Scatterbug, bug ," Bug Bite, Tackle, Struggle,",116,63,63,556,563,Kalos,bug,,rain,,rain 
665,Spewpa, bug ," Bug Bite, Tackle, Struggle,",128,48,89,542,548,Kalos,bug,,rain,,rain 
666,Vivillon, bug  flying ," Bug Bite, Gust, Struggle Bug, Bug Buzz, Aerial Ace, Energy Ball, Hurricane,",190,176,103,2097,2122,Kalos,bug,flying,rain,windy,rain windy
666,Vivillon (Polar Pattern) , bug  flying ,,190,176,103,2097,2122,Kalos,bug,flying,rain,windy,rain windy
666,Vivillon (Tundra Pattern) , bug  flying ,,190,176,103,2097,2122,Kalos,bug,flying,rain,windy,rain windy
666,Vivillon (Continental Pattern) , bug  flying ,,190,176,103,2097,2122,Kalos,bug,flying,rain,windy,rain windy
666,Vivillon (Garden Pattern) , bug  flying ,,190,176,103,2097,2122,Kalos,bug,flying,rain,windy,rain windy
666,Vivillon (Elegant Pattern), bug  flying ,,190,176,103,2097,2122,Kalos,bug,flying,rain,windy,rain windy
666,Vivillon (Icy Snow Pattern) , bug  flying ,,190,176,103,2097,2122,Kalos,bug,flying,rain,windy,rain windy
666,Vivillon (Modern Pattern) , bug  flying ,,190,176,103,2097,2122,Kalos,bug,flying,rain,windy,rain windy
666,Vivillon (Marine Pattern) , bug  flying ,,190,176,103,2097,2122,Kalos,bug,flying,rain,windy,rain windy
666,Vivillon (Archipelago Pattern) , bug  flying ,,190,176,103,2097,2122,Kalos,bug,flying,rain,windy,rain windy
666,Vivillon (High Plains Pattern) , bug  flying ,,190,176,103,2097,2122,Kalos,bug,flying,rain,windy,rain windy
