num,name,poke_type,attacks,hp,attack,defense,max_cp,max_buddy_cp,region,type1,type2,boost1,boost2,boost
1,Bulbasaur, grass  poison ," Tackle, Vine Whip, Sludge Bomb, Seed Bomb, Power Whip,",128,118,111,1260,1275,Kanto,grass,poison,sunny/clear,cloudy,sunny/clear cloudy
2,Ivysaur, grass  poison ," Razor Leaf, Vine Whip, Sludge Bomb, Solar Beam, Power Whip,",155,151,143,1920,1943,Kanto,grass,poison,sunny/clear,cloudy,sunny/clear cloudy
3,Venusaur, grass  poison ," Razor Leaf, Vine Whip, Sludge Bomb, Solar Beam, Petal Blizzard,",190,198,189,3075,3112,Kanto,grass,poison,sunny/clear,cloudy,sunny/clear cloudy
3,Mega Venusaur, grass  poison ," Razor Leaf, Vine Whip, Sludge Bomb, Solar Beam, Petal Blizzard,",190,241,246,4181,4231,Kanto,grass,poison,sunny/clear,cloudy,sunny/clear cloudy
4,Charmander, fire ," Ember, Scratch, Flame Burst, Flamethrower, Flame Charge,",118,116,93,1108,1121,Kanto,fire,,sunny/clear,,sunny/clear 
5,Charmeleon, fire ," Ember, Fire Fang, Flame Burst, Flamethrower, Fire Punch,",151,158,126,1868,1891,Kanto,fire,,sunny/clear,,sunny/clear 
6,Charizard, fire  flying ," Fire Spin, Air Slash, Fire Blast, Dragon Claw, Overheat,",186,223,173,3266,3305,Kanto,fire,flying,sunny/clear,windy,sunny/clear windy
6,Mega Charizard X, fire  dragon ," Fire Spin, Air Slash, Fire Blast, Dragon Claw, Overheat,",186,273,213,4353,4405,Kanto,fire,dragon,sunny/clear,windy,sunny/clear windy
6,Mega Charizard Y, fire  flying ," Fire Spin, Air Slash, Fire Blast, Dragon Claw, Overheat,",186,319,212,5037,5097,Kanto,fire,flying,sunny/clear,windy,sunny/clear windy
7,Squirtle, water ," Tackle, Bubble, Aqua Jet, Aqua Tail, Water Pulse,",127,94,121,1069,1082,Kanto,water,,rain,,rain 
8,Wartortle, water ," Bite, Water Gun, Aqua Jet, Hydro Pump, Ice Beam,",153,126,155,1682,1702,Kanto,water,,rain,,rain 
9,Blastoise, water ," Bite, Water Gun, Ice Beam, Hydro Pump, Flash Cannon, Skull Bash,",188,171,207,2788,2821,Kanto,water,,rain,,rain 
9,Mega Blastoise, water ," Bite, Water Gun, Ice Beam, Hydro Pump, Flash Cannon, Skull Bash,",188,264,237,4455,4509,Kanto,water,,rain,,rain 
10,Caterpie, bug ," Tackle, Bug Bite, Struggle,",128,55,55,494,500,Kanto,bug,,rain,,rain 
11,Metapod, bug ," Tackle, Bug Bite, Struggle,",137,45,80,509,515,Kanto,bug,,rain,,rain 
12,Butterfree, bug  flying ," Struggle Bug, Confusion, Psychic, Bug Buzz, Signal Beam,",155,167,137,2065,2090,Kanto,bug,flying,rain,windy,rain windy
13,Weedle, bug  poison ," Bug Bite, Poison Sting, Struggle,",120,63,50,515,522,Kanto,bug,poison,rain,cloudy,rain cloudy
14,Kakuna, bug  poison ," Bug Bite, Poison Sting, Struggle,",128,46,75,488,494,Kanto,bug,poison,rain,cloudy,rain cloudy
15,Beedrill, bug  poison ," Infestation, Poison Jab, Aerial Ace, Sludge Bomb, X-Scissor, Fell Stinger,",163,169,130,2087,2112,Kanto,bug,poison,rain,cloudy,rain cloudy
15,Mega Beedrill, bug  poison ," Infestation, Poison Jab, Aerial Ace, Sludge Bomb, X-Scissor, Fell Stinger,",163,303,148,3824,3870,Kanto,bug,poison,rain,cloudy,rain cloudy
16,Pidgey, normal  flying ," Tackle, Quick Attack, Twister, Aerial Ace, Air Cutter,",120,85,73,769,778,Kanto,normal,flying,partly cloudy,windy,partly cloudy windy
17,Pidgeotto, normal  flying ," Wing Attack, Steel Wing, Twister, Aerial Ace, Air Cutter,",160,117,105,1350,1366,Kanto,normal,flying,partly cloudy,windy,partly cloudy windy
18,Pidgeot, normal  flying ," Air Slash, Steel Wing, Hurricane, Aerial Ace, Brave Bird, Feather Dance,",195,166,154,2407,2436,Kanto,normal,flying,partly cloudy,windy,partly cloudy windy
18,Mega Pidgeot, normal  flying ," Air Slash, Steel Wing, Hurricane, Aerial Ace, Brave Bird, Feather Dance,",195,280,175,4160,4210,Kanto,normal,flying,partly cloudy,windy,partly cloudy windy
19,Rattata, normal ," Tackle, Quick Attack, Dig, Hyper Fang, Body Slam,",102,103,70,830,840,Kanto,normal,,partly cloudy,,partly cloudy 
19,Rattata (Alola Form) , dark  normal ," Tackle, Quick Attack, Crunch, Hyper Fang, Shadow Ball,",102,103,70,830,840,Kanto,dark,normal,fog,partly cloudy,fog partly cloudy
20,Raticate, normal ," Bite, Quick Attack, Dig, Hyper Fang, Hyper Beam,",146,161,139,1956,1980,Kanto,normal,,partly cloudy,,partly cloudy 
20,Raticate (Alola Form) , dark  normal ," Bite, Quick Attack, Crunch, Hyper Fang, Hyper Beam,",181,135,154,1927,1950,Kanto,dark,normal,fog,partly cloudy,fog partly cloudy
21,Spearow, normal  flying ," Quick Attack, Peck, Aerial Ace, Drill Peck, Sky Attack,",120,112,60,902,913,Kanto,normal,flying,partly cloudy,windy,partly cloudy windy
22,Fearow, normal  flying ," Steel Wing, Peck, Aerial Ace, Drill Run, Sky Attack,",163,182,133,2257,2284,Kanto,normal,flying,partly cloudy,windy,partly cloudy windy
23,Ekans, poison ," Acid, Poison Sting, Wrap, Poison Fang, Sludge Bomb,",111,110,97,1048,1061,Kanto,poison,,cloudy,,cloudy 
24,Arbok, poison ," Acid, Bite, Dragon Tail, Dark Pulse, Sludge Wave, Gunk Shot, Acid Spray,",155,167,153,2171,2197,Kanto,poison,,cloudy,,cloudy 
25,Pikachu, electric ," Thunder Shock, Quick Attack, Discharge, Thunderbolt, Wild Charge,",111,112,96,1060,1073,Kanto,electric,,rain,,rain 
