num,name,poke_type,attacks,hp,attack,defense,max_cp,max_buddy_cp,region,type1,type2,boost1,boost2,boost
387,Turtwig, grass ," Tackle, Razor Leaf, Energy Ball, Seed Bomb, Body Slam,",146,119,110,1342,1358,Sinnoh,grass,,sunny/clear,,sunny/clear 
388,Grotle, grass ," Bite, Razor Leaf, Energy Ball, Solar Beam, Body Slam,",181,157,143,2137,2162,Sinnoh,grass,,sunny/clear,,sunny/clear 
389,Torterra, grass  ground ," Bite, Razor Leaf, Stone Edge, Solar Beam, Earthquake, Sand Tomb,",216,202,188,3318,3357,Sinnoh,grass,ground,sunny/clear,sunny/clear,sunny/clear sunny/clear
390,Chimchar, fire ," Ember, Scratch, Flame Wheel, Flamethrower, Flame Charge,",127,113,86,1082,1095,Sinnoh,fire,,sunny/clear,,sunny/clear 
391,Monferno, fire  fighting ," Ember, Rock Smash, Flame Wheel, Flamethrower, Low Sweep,",162,158,105,1780,1801,Sinnoh,fire,fighting,sunny/clear,cloudy,sunny/clear cloudy
392,Infernape, fire  fighting ," Fire Spin, Rock Smash, Solar Beam, Flamethrower, Close Combat,",183,222,151,3033,3070,Sinnoh,fire,fighting,sunny/clear,cloudy,sunny/clear cloudy
393,Piplup, water ," Bubble, Pound, Bubble Beam, Drill Peck, Icy Wind,",142,112,102,1215,1229,Sinnoh,water,,rain,,rain 
394,Prinplup, water ," Bubble, Metal Claw, Bubble Beam, Hydro Pump, Icy Wind,",162,150,139,1923,1946,Sinnoh,water,,rain,,rain 
395,Empoleon, water  steel ," Waterfall, Metal Claw, Hydro Pump, Blizzard, Flash Cannon, Drill Peck,",197,210,186,3279,3318,Sinnoh,water,steel,rain,snow,rain snow
396,Starly, normal  flying ," Tackle, Quick Attack, Aerial Ace, Brave Bird,",120,101,58,813,822,Sinnoh,normal,flying,partly cloudy,windy,partly cloudy windy
397,Staravia, normal  flying ," Wing Attack, Quick Attack, Aerial Ace, Brave Bird, Heat Wave,",146,142,94,1468,1486,Sinnoh,normal,flying,partly cloudy,windy,partly cloudy windy
398,Staraptor, normal  flying ," Wing Attack, Quick Attack, Brave Bird, Heat Wave, Close Combat,",198,234,140,3194,3232,Sinnoh,normal,flying,partly cloudy,windy,partly cloudy windy
399,Bidoof, normal ," Tackle, Take Down, Hyper Fang, Crunch, Grass Knot,",153,80,73,815,825,Sinnoh,normal,,partly cloudy,,partly cloudy 
400,Bibarel, normal  water ," Water Gun, Take Down, Hyper Fang, Hyper Beam, Surf,",188,162,119,2061,2085,Sinnoh,normal,water,partly cloudy,rain,partly cloudy rain
401,Kricketot, bug ," Struggle Bug, Bug Bite, Struggle,",114,45,74,453,459,Sinnoh,bug,,rain,,rain 
402,Kricketune, bug ," Struggle Bug, Fury Cutter, Bug Buzz, X-Scissor, Aerial Ace,",184,160,100,1869,1891,Sinnoh,bug,,rain,,rain 
403,Shinx, electric ," Tackle, Spark, Discharge, Thunderbolt, Swift,",128,117,64,990,1002,Sinnoh,electric,,rain,,rain 
404,Luxio, electric ," Spark, Bite, Thunderbolt, Wild Charge, Crunch,",155,159,95,1680,1700,Sinnoh,electric,,rain,,rain 
405,Luxray, electric ," Spark, Snarl, Hidden Power, Hyper Beam, Wild Charge, Crunch,",190,232,156,3265,3304,Sinnoh,electric,,rain,,rain 
406,Budew, grass  poison ," Hidden Power, Razor Leaf, Energy Ball, Grass Knot,",120,91,109,968,979,Sinnoh,grass,poison,sunny/clear,cloudy,sunny/clear cloudy
407,Roserade, grass  poison ," Poison Jab, Razor Leaf, Solar Beam, Sludge Bomb, Dazzling Gleam, Grass Knot, Leaf Storm,",155,243,185,3359,3399,Sinnoh,grass,poison,sunny/clear,cloudy,sunny/clear cloudy
408,Cranidos, rock ," Zen Headbutt, Take Down, Rock Tomb, Ancient Power, Bulldoze,",167,218,71,2058,2082,Sinnoh,rock,,partly cloudy,,partly cloudy 
409,Rampardos, rock ," Zen Headbutt, Smack Down, Rock Slide, Outrage, Flamethrower,",219,295,109,3728,3773,Sinnoh,rock,,partly cloudy,,partly cloudy 
410,Shieldon, rock  steel ," Tackle, Iron Tail, Rock Tomb, Ancient Power, Heavy Slam,",102,76,195,1007,1019,Sinnoh,rock,steel,partly cloudy,snow,partly cloudy snow
411,Bastiodon, rock  steel ," Smack Down, Iron Tail, Stone Edge, Flamethrower, Flash Cannon,",155,94,286,1740,1761,Sinnoh,rock,steel,partly cloudy,snow,partly cloudy snow
412,Burmy, bug ," Tackle, Quick Attack, Struggle,",120,53,83,552,558,Sinnoh,bug,,rain,,rain 
412,Burmy (Sandy Cloak) , bug ,,120,53,83,552,558,Sinnoh,bug,,rain,,rain 
412,Burmy (Trash Cloak) , bug ,,120,53,83,552,558,Sinnoh,bug,,rain,,rain 
413,Wormadam, bug  grass ," Confusion, Bug Bite, Psybeam, Energy Ball, Bug Buzz,",155,141,180,2005,2029,Sinnoh,bug,grass,rain,sunny/clear,rain sunny/clear
413,Wormadam (Sandy Cloak) , bug  ground ," Confusion, Bug Bite, Psybeam, Bulldoze, Bug Buzz,",155,141,180,2005,2029,Sinnoh,bug,ground,rain,sunny/clear,rain sunny/clear
413,Wormadam (Trash Cloak) , bug  steel ," Confusion, Bug Bite, Psybeam, Iron Head, Bug Buzz,",155,127,175,1801,1823,Sinnoh,bug,steel,rain,snow,rain snow
414,Mothim, bug  flying ," Air Slash, Bug Bite, Psybeam, Aerial Ace, Bug Buzz,",172,185,98,2052,2077,Sinnoh,bug,flying,rain,windy,rain windy
415,Combee, bug  flying ," Bug Bite, Bug Buzz,",102,59,83,559,566,Sinnoh,bug,flying,rain,windy,rain windy
416,Vespiquen, bug  flying ," Bug Bite, Poison Sting, Fury Cutter, Bug Buzz, Power Gem, X-Scissor, Fell Stinger, Air Slash, Signal Beam,",172,149,190,2267,2294,Sinnoh,bug,flying,rain,windy,rain windy
417,Pachirisu, electric ," Spark, Volt Switch, Thunder, Thunderbolt, Thunder Punch,",155,94,172,1372,1388,Sinnoh,electric,,rain,,rain 
418,Buizel, water ," Water Gun, Quick Attack, Aqua Jet, Water Pulse, Swift,",146,132,67,1192,1206,Sinnoh,water,,rain,,rain 
419,Floatzel, water ," Water Gun, Waterfall, Aqua Jet, Hydro Pump, Swift,",198,221,114,2762,2795,Sinnoh,water,,rain,,rain 
420,Cherubi, grass ," Tackle, Bullet Seed, Power Whip, Petal Blizzard, Seed Bomb,",128,108,92,1074,1087,Sinnoh,grass,,sunny/clear,,sunny/clear 
421,Cherrim, grass ," Razor Leaf, Bullet Seed, Dazzling Gleam, Hyper Beam, Solar Beam,",172,170,153,2315,2342,Sinnoh,grass,,sunny/clear,,sunny/clear 
