num,name,poke_type,attacks,hp,attack,defense,max_cp,max_buddy_cp,region,type1,type2,boost1,boost2,boost
494,Victini, psychic  fire ," Confusion, Quick Attack, Overheat, Focus Blast, Psychic, V-create,",225,210,210,3691,3735,Unova,psychic,fire,windy,sunny/clear,windy sunny/clear
495,Snivy, grass ," Tackle, Vine Whip, Energy Ball, Seed Bomb, Wrap,",128,88,107,960,972,Unova,grass,,sunny/clear,,sunny/clear 
496,Servine, grass ," Iron Tail, Vine Whip, Grass Knot, Leaf Tornado, Wrap,",155,122,152,1629,1649,Unova,grass,,sunny/clear,,sunny/clear 
497,Serperior, grass ," Iron Tail, Vine Whip, Grass Knot, Leaf Tornado, Aerial Ace,",181,161,204,2574,2605,Unova,grass,,sunny/clear,,sunny/clear 
498,Tepig, fire ," Tackle, Ember, Flame Charge, Flamethrower, Body Slam,",163,115,85,1224,1239,Unova,fire,,sunny/clear,,sunny/clear 
499,Pignite, fire  fighting ," Tackle, Ember, Flame Charge, Flamethrower, Rock Tomb,",207,173,106,2175,2201,Unova,fire,fighting,sunny/clear,cloudy,sunny/clear cloudy
500,Emboar, fire  fighting ," Low Kick, Ember, Heat Wave, Rock Slide, Focus Blast, Flame Charge,",242,235,127,3372,3412,Unova,fire,fighting,sunny/clear,cloudy,sunny/clear cloudy
501,Oshawott, water ," Tackle, Water Gun, Aqua Tail, Water Pulse, Night Slash,",146,117,85,1182,1196,Unova,water,,rain,,rain 
502,Dewott, water ," Fury Cutter, Water Gun, Aqua Tail, Water Pulse, X-Scissor,",181,159,116,1968,1992,Unova,water,,rain,,rain 
503,Samurott, water ," Fury Cutter, Waterfall, Hydro Pump, Blizzard, Megahorn, Razor Shell,",216,212,157,3195,3233,Unova,water,,rain,,rain 
503,Samurott (Hisuian Form) , water  dark ,,172,208,159,2840,2874,Unova,water,dark,rain,fog,rain fog
504,Patrat, normal ," Tackle, Bite, Dig, Hyper Fang, Grass Knot,",128,98,73,895,905,Unova,normal,,partly cloudy,,partly cloudy 
505,Watchog, normal ," Low Kick, Bite, Crunch, Hyper Fang, Grass Knot,",155,165,139,2056,2081,Unova,normal,,partly cloudy,,partly cloudy 
506,Lillipup, normal ," Tackle, Take Down, Thunderbolt, Rock Tomb, Dig,",128,107,86,1035,1047,Unova,normal,,partly cloudy,,partly cloudy 
507,Herdier, normal ," Lick, Take Down, Thunderbolt, Play Rough, Dig,",163,145,126,1789,1811,Unova,normal,,partly cloudy,,partly cloudy 
508,Stoutland, normal ," Lick, Take Down, Ice Fang, Wild Charge, Play Rough, Crunch,",198,206,182,3196,3234,Unova,normal,,partly cloudy,,partly cloudy 
509,Purrloin, dark ," Scratch, Sucker Punch, Night Slash, Play Rough, Dark Pulse,",121,98,73,872,883,Unova,dark,,fog,,fog 
510,Liepard, dark ," Charm, Snarl, Gunk Shot, Play Rough, Dark Pulse, Payback,",162,187,106,2087,2112,Unova,dark,,fog,,fog 
511,Pansage, grass ," Scratch, Vine Whip, Energy Ball, Seed Bomb, Crunch,",137,104,94,1081,1094,Unova,grass,,sunny/clear,,sunny/clear 
512,Simisage, grass ," Bite, Vine Whip, Solar Beam, Grass Knot, Crunch,",181,206,133,2657,2689,Unova,grass,,sunny/clear,,sunny/clear 
513,Pansear, fire ," Scratch, Fire Spin, Flame Burst, Flame Charge, Crunch,",137,104,94,1081,1094,Unova,fire,,sunny/clear,,sunny/clear 
514,Simisear, fire ," Bite, Fire Spin, Flamethrower, Fire Blast, Crunch,",181,206,133,2657,2689,Unova,fire,,sunny/clear,,sunny/clear 
515,Panpour, water ," Scratch, Water Gun, Surf, Water Pulse, Crunch,",137,104,94,1081,1094,Unova,water,,rain,,rain 
516,Simipour, water ," Bite, Water Gun, Surf, Hydro Pump, Crunch,",181,206,133,2657,2689,Unova,water,,rain,,rain 
517,Munna, psychic ," Zen Headbutt, Charge Beam, Psybeam, Dazzling Gleam, Psyshock,",183,111,92,1294,1310,Unova,psychic,,windy,,windy 
518,Musharna, psychic ," Zen Headbutt, Charge Beam, Future Sight, Dazzling Gleam, Psyshock,",253,183,166,3079,3116,Unova,psychic,,windy,,windy 
