num,name,poke_type,attacks,hp,attack,defense,max_cp,max_buddy_cp,region,type1,type2,boost1,boost2,boost
1,Bulbasaur, grass  poison ," Tackle, Vine Whip, Sludge Bomb, Seed Bomb, Power Whip,",128.0,118.0,111.0,1260,1275,Kanto,grass,poison,sunny/clear,cloudy,sunny/clear cloudy
2,Ivysaur, grass  poison ," Razor Leaf, Vine Whip, Sludge Bomb, Solar Beam, Power Whip,",155.0,151.0,143.0,1920,1943,Kanto,grass,poison,sunny/clear,cloudy,sunny/clear cloudy
3,Mega Venusaur, grass  poison ," Razor Leaf, Vine Whip, Sludge Bomb, Solar Beam, Petal Blizzard,",190.0,241.0,246.0,4181,4231,Kanto,grass,poison,sunny/clear,cloudy,sunny/clear cloudy
3,Venusaur, grass  poison ," Razor Leaf, Vine Whip, Sludge Bomb, Solar Beam, Petal Blizzard,",190.0,198.0,189.0,3075,3112,Kanto,grass,poison,sunny/clear,cloudy,sunny/clear cloudy
4,Charmander, fire ," Ember, Scratch, Flame Burst, Flamethrower, Flame Charge,",118.0,116.0,93.0,1108,1121,Kanto,fire,,sunny/clear,,sunny/clear 
5,Charmeleon, fire ," Ember, Fire Fang, Flame Burst, Flamethrower, Fire Punch,",151.0,158.0,126.0,1868,1891,Kanto,fire,,sunny/clear,,sunny/clear 
6,Mega Charizard X, fire  dragon ," Fire Spin, Air Slash, Fire Blast, Dragon Claw, Overheat,",186.0,273.0,213.0,4353,4405,Kanto,fire,dragon,sunny/clear,windy,sunny/clear windy
6,Mega Charizard Y, fire  flying ," Fire Spin, Air Slash, Fire Blast, Dragon Claw, Overheat,",186.0,319.0,212.0,5037,5097,Kanto,fire,flying,sunny/clear,windy,sunny/clear windy
6,Charizard, fire  flying ," Fire Spin, Air Slash, Fire Blast, Dragon Claw, Overheat,",186.0,223.0,173.0,3266,3305,Kanto,fire,flying,sunny/clear,windy,sunny/clear windy
7,Squirtle, water ," Tackle, Bubble, Aqua Jet, Aqua Tail, Water Pulse,",127.0,94.0,121.0,1069,1082,Kanto,water,,rain,,rain 
8,Wartortle, water ," Bite, Water Gun, Aqua Jet, Hydro Pump, Ice Beam,",153.0,126.0,155.0,1682,1702,Kanto,water,,rain,,rain 
9,Blastoise, water ," Bite, Water Gun, Ice Beam, Hydro Pump, Flash Cannon, Skull Bash,",188.0,171.0,207.0,2788,2821,Kanto,water,,rain,,rain 
9,Mega Blastoise, water ," Bite, Water Gun, Ice Beam, Hydro Pump, Flash Cannon, Skull Bash,",188.0,264.0,237.0,4455,4509,Kanto,water,,rain,,rain 
10,Caterpie, bug ," Tackle, Bug Bite, Struggle,",128.0,55.0,55.0,494,500,Kanto,bug,,rain,,rain 
11,Metapod, bug ," Tackle, Bug Bite, Struggle,",137.0,45.0,80.0,509,515,Kanto,bug,,rain,,rain 
12,Butterfree, bug  flying ," Struggle Bug, Confusion, Psychic, Bug Buzz, Signal Beam,",155.0,167.0,137.0,2065,2090,Kanto,bug,flying,rain,windy,rain windy
13,Weedle, bug  poison ," Bug Bite, Poison Sting, Struggle,",120.0,63.0,50.0,515,522,Kanto,bug,poison,rain,cloudy,rain cloudy
14,Kakuna, bug  poison ," Bug Bite, Poison Sting, Struggle,",128.0,46.0,75.0,488,494,Kanto,bug,poison,rain,cloudy,rain cloudy
