location,address,city,county,latitude,longitude,type
Moultrie Playground ,294-314 Broad St,Charleston,"(Charleston County, SC)",32.775526,-79.941928,Gym
West Ashley Library ,45 Windermere Blvd,Charleston,"(Charleston County, SC)",32.776952,-79.975937,Gym
Old Jail and American College ,21 Magazine St,Charleston,"(Charleston County, SC)",32.778654,-79.937213,Gym
SC Chamber Of Commerce ,17 Lockwood Dr,Charleston,"(Charleston County, SC)",32.779154,-79.950924,Gym
Glover - Sottile House ,81 Rutledge Ave,Charleston,"(Charleston County, SC)",32.779843,-79.941966,Gym
Logan Street Park ,1391 Coming St,Charleston,"(Charleston County, SC)",32.779975,-79.936454,Gym
Riviera Theatre ,227 King St,Charleston,"(Charleston County, SC)",32.780613,-79.933375,Gym
City Market ,73 N Market St,Charleston,"(Charleston County, SC)",32.780739,-79.931446,Gym
Mary Shrine ,694 Savannah Hwy,Charleston,"(Charleston County, SC)",32.781555,-79.982208,Gym
Grace Church ,98 Wentworth St,Charleston,"(Charleston County, SC)",32.781557,-79.936574,Gym
Blessed Sacrament Catholic Church ,694-698 US-17,Charleston,"(Charleston County, SC)",32.781785,-79.983174,Gym
Groovy Elephant ,835 Savannah Hwy,Charleston,"(Charleston County, SC)",32.781855,-79.986921,Gym
Coburg Cow ,Coburg Rd,Charleston,"(Charleston County, SC)",32.78241,-79.988813,Gym
Courtyard Fountain ,33 Lockwood Dr,Charleston,"(Charleston County, SC)",32.7825,-79.955919,Gym
Charleston Fire Department Memorial ,46 Wentworth St,Charleston,"(Charleston County, SC)",32.783459,-79.931876,Gym
Pi Kappa Phi Centennial Memorial Bell Tower ,69 Coming St,Charleston,"(Charleston County, SC)",32.783499,-79.93924,Gym
MUSC: Sesquicentennial Monument ,169 Ashley Ave,Charleston,"(Charleston County, SC)",32.785306,-79.947098,Gym
MUSC's Porcher Medicinal Garden ,98 Jonathan Lucas St,Charleston,"(Charleston County, SC)",32.785344,-79.948352,Gym
Green Energy Power Glory Mural ,201 Calhoun St,Charleston,"(Charleston County, SC)",32.7854,-79.937095,Gym
Fitness Park ,74 President St,Charleston,"(Charleston County, SC)",32.786051,-79.949608,Gym
Hospital Strike of 1969 ,171-179 Ashley Ave,Charleston,"(Charleston County, SC)",32.786195,-79.947107,Gym
Holocaust Memorial ,132 Calhoun St,Charleston,"(Charleston County, SC)",32.786585,-79.935023,Gym
Marion Square ,329 Meeting St,Charleston,"(Charleston County, SC)",32.786652,-79.9357095,Trainer Spot
Desert Storm/Shield Flags ,18-34 Vanderhorst St,Charleston,"(Charleston County, SC)",32.786868,-79.939098,Gym
Medical College of South Carolina ,181 Ashley Ave,Charleston,"(Charleston County, SC)",32.786947,-79.947801,Gym
Citadel Square Baptist Church ,320 Meeting St,Charleston,"(Charleston County, SC)",32.78724,-79.934487,Gym
Emanuel AME Church ,110 Calhoun St,Charleston,"(Charleston County, SC)",32.787374,-79.932949,Gym
Original Site of the Citadel ,14 Hutson St,Charleston,"(Charleston County, SC)",32.787414,-79.936083,Gym
Charleston Police Memorial ,Brittlebank Path,Charleston,"(Charleston County, SC)",32.78747,-79.960314,Gym
Beth Shalom Beth Israel Synagogue ,178-182 Rutledge Ave,Charleston,"(Charleston County, SC)",32.787617,-79.945893,Gym
Magnolia Community Garden ,700-736 Magnolia Rd,Charleston,"(Charleston County, SC)",32.787824,-79.993038,Gym
Gadsdenboro Park Bird Sculpture ,311-325 Concord St,Charleston,"(Charleston County, SC)",32.788413,-79.926883,Gym
Hominy Grill ,207 Rutledge Ave,Charleston,"(Charleston County, SC)",32.788856,-79.946807,Gym
The American ,444-446 King St,Charleston,"(Charleston County, SC)",32.788895,-79.938267,Gym
Ackerman Park Dog Run ,Hamilton St,Charleston,"(Charleston County, SC)",32.78906,-79.989852,Gym
Jesus is the Only Fire Escape Mural ,150 President St,Charleston,"(Charleston County, SC)",32.789189,-79.951135,Gym
Joseph P. Riley Stadium ,Brittlebank Path,Charleston,"(Charleston County, SC)",32.789889,-79.960888,Gym
Liberty Square ,Freedom Ln,Charleston,"(Charleston County, SC)",32.790043,-79.92615,Gym
Entrance Murial ,817 St Andrews Blvd,Charleston,"(Charleston County, SC)",32.790368,-79.987098,Gym
Professional Baseball Scouts Hall Of Fame ,360 Fishburne St,Charleston,"(Charleston County, SC)",32.791044,-79.960816,Gym
Forest Park ,780 W Oak Forest Dr,Charleston,"(Charleston County, SC)",32.791151,-79.999294,Gym
South Carolina Aquarium Frog Statue ,340 Concord St,Charleston,"(Charleston County, SC)",32.791202,-79.924942,Gym
Memorial Missionary Baptist Church ,141-153 Alexander St,Charleston,"(Charleston County, SC)",32.791501,-79.932925,Gym
